s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.3056337E+001, 3.1799373E+001, 0.0000000E+000,-8.1016485E+000,-8.2883235E-003,-2.2235922E+000,-4.9271217E-003, 8.7920287E+000, 0.0000000E+000, 3.0129378E+001, 3.0252945E+001, 0.0000000E+000, 1.5938640E-003, 0.0000000E+000, 6.7712956E+002
 2.4032358E+001, 3.3109784E+001, 0.0000000E+000,-8.6197630E+000,-8.6805241E-003,-2.4068775E+000,-5.1275266E-003, 9.0612825E+000, 0.0000000E+000, 3.1107115E+001, 3.1130618E+001, 0.0000000E+000, 1.6623900E-003, 0.0000000E+000, 7.3340352E+002
 2.5008377E+001, 3.4437786E+001, 0.0000000E+000,-9.3338370E+000,-9.0161894E-003,-2.5855227E+000,-5.3490877E-003, 9.2396596E+000, 0.0000000E+000, 3.1691766E+001, 3.1743720E+001, 0.0000000E+000, 1.7311980E-003, 0.0000000E+000, 7.9075691E+002
 2.6059475E+001, 3.5645648E+001, 0.0000000E+000,-9.8348833E+000,-9.3247967E-003,-2.7655728E+000,-5.5735350E-003, 9.4611150E+000, 0.0000000E+000, 3.2437684E+001, 3.2491408E+001, 0.0000000E+000, 1.8026246E-003, 0.0000000E+000, 8.5399973E+002
 2.7035496E+001, 3.7248434E+001, 0.0000000E+000,-9.6867899E+000,-9.7699090E-003,-2.9567866E+000,-5.7812642E-003, 1.0082511E+001, 0.0000000E+000, 3.4509767E+001, 3.4671818E+001, 0.0000000E+000, 1.8741720E-003, 0.0000000E+000, 9.1647502E+002
 2.8011515E+001, 3.8619335E+001, 0.0000000E+000,-1.0190352E+001,-1.0089027E-002,-3.1440821E+000,-6.0114345E-003, 1.0382435E+001, 0.0000000E+000, 3.5621355E+001, 3.5651236E+001, 0.0000000E+000, 1.9429800E-003, 0.0000000E+000, 9.8094869E+002
 2.9062614E+001, 4.0111618E+001, 0.0000000E+000,-1.0933135E+001,-1.0504477E-002,-3.3029506E+000,-6.2004309E-003, 1.0622395E+001, 0.0000000E+000, 3.6411999E+001, 3.6481222E+001, 0.0000000E+000, 2.0144670E-003, 0.0000000E+000, 1.0519430E+003
 3.0038633E+001, 4.1335104E+001, 0.0000000E+000,-1.1352483E+001,-1.0872588E-002,-3.5277141E+000,-6.4042991E-003, 1.0860938E+001, 0.0000000E+000, 3.7262026E+001, 3.7298568E+001, 0.0000000E+000, 2.0865614E-003, 0.0000000E+000, 1.1193870E+003
 3.1014654E+001, 4.3877978E+001, 0.0000000E+000,-1.1966112E+001,-1.1658329E-002,-3.7729266E+000,-6.8558417E-003, 1.1513192E+001, 0.0000000E+000, 3.9361053E+001, 3.9633617E+001, 0.0000000E+000, 2.2342860E-003, 0.0000000E+000, 1.1906344E+003
 3.2053997E+001, 4.8295848E+001, 0.0000000E+000,-1.3056828E+001,-1.2797670E-002,-4.1135633E+000,-7.5098142E-003, 1.2732828E+001, 0.0000000E+000, 4.3582868E+001, 4.3837977E+001, 0.0000000E+000, 2.4470017E-003, 0.0000000E+000, 1.2745953E+003
 3.3061764E+001, 5.2702189E+001, 0.0000000E+000,-1.4287117E+001,-1.3996114E-002,-4.4756501E+000,-8.1182771E-003, 1.3901121E+001, 0.0000000E+000, 4.7555375E+001, 4.7818429E+001, 0.0000000E+000, 2.6635464E-003, 0.0000000E+000, 1.3634809E+003
